OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total,OrderDate
7681,Charles Babbage,LO,9.46,Marble,5868.00,88.73,34.25,520667.64,200979.00,68267.77,789914.41,01-02-2027
7728,Louisville Llama Farm,WY,9.46,Straw,259591.00,1.80,3.25,467263.80,843670.75,124014.41,1434948.96,01-02-2027
7893,Penn Jillette,TX,8.19,Asphalt,235936.00,10.78,13.33,2543390.08,3145026.88,465881.35,6154298.31,01-02-2027
7919,Penn Jillette,KY,6,Bamboo,145287.00,18.50,9.25,2687809.50,1343904.75,241902.86,4273617.11,01-02-2027
7998,Charles Babbage,HI,4.35,Marble,194182.00,88.73,34.25,17229768.86,6650733.50,1038801.85,24919304.21,01-02-2027
8028,Alex Trebek,AK,1.76,Laminate,30949.00,4.50,9.80,139270.50,303300.20,7789.24,450359.94,01-02-2027
8089,Jaden Smith,XX,9.46,Dirt,168126.00,0.78,3.33,131138.28,559859.58,65368.40,756366.26,01-02-2027
8150,Thurston Howell# III,HI,4.35,Granite,159494.00,72.50,29.25,11563315.00,4665199.50,705940.38,16934454.88,01-02-2027
8239,Ada Lovelace,II,9.46,Bamboo,32592.00,18.50,9.25,602952.00,301476.00,85558.89,989986.89,01-02-2027
8291,Grace Murray Hopper,XX,9.46,Straw,5187.00,1.80,3.25,9336.60,16857.75,2477.99,28672.34,01-02-2027
8307,Alan M. Galloway# Jr.,OH,7.14,Marble,259114.00,88.73,34.25,22991185.22,8874654.50,2275220.96,34141060.68,01-02-2027
8449,Ada Lovelace,HI,4.35,Distressed Red Oak,135323.00,18.57,23.33,2512948.11,3157085.59,246646.47,5916680.17,01-02-2027
8457,Penn Jillette,OH,7.14,Laminate,253031.00,4.50,9.80,1138639.50,2479703.80,258349.71,3876693.01,01-02-2027
8492,Alan M. Galloway# Sr.,KY,6,Trampoline,145425.00,20.78,13.33,3021931.50,1938515.25,297626.81,5258073.56,01-02-2027
8509,Penn Jillette,DN,9.46,Dirt,260733.00,0.78,3.33,203371.74,868240.89,101374.55,1172987.18,01-02-2027
8572,Grace Murray Hopper,RI,7,Straw,279496.00,1.80,3.25,503092.80,908362.00,98801.84,1510256.64,01-02-2027
8639,Tractor Supply Co.,XX,9.46,Tile,36827.00,1.50,14.30,55240.50,526626.10,55044.58,636911.18,01-02-2027
8691,Monty Hall,II,9.46,Carpet,44753.00,12.50,6.30,559412.50,281943.90,79592.32,920948.72,01-02-2027
8778,Alan M. Galloway# Jr.,DN,9.46,Asphalt,3096.00,10.78,13.33,33374.88,41269.68,7061.38,81705.94,01-02-2027
8879,Microsoft# Inc.,RI,7,Bamboo,130788.00,18.50,9.25,2419578.00,1209789.00,254055.69,3883422.69,01-02-2027
130049,Steve Jobs,OH,7.14,Straw,55373.00,1.80,3.25,99671.40,179962.25,19965.84,299599.49,01-03-1988
130067,Jaden Smith,II,9.46,Mosaic Tile,283849.00,18.50,49.25,5251206.50,13979563.25,1819230.82,21050000.57,01-03-1988
130153,Jean Ichbiah,II,9.46,Granite,81320.00,72.50,29.25,5895700.00,2378610.00,782749.73,9057059.73,01-03-1988
130249,Apple,OH,7.14,Straw,204339.00,1.80,3.25,367810.20,664101.75,73678.51,1105590.46,01-03-1988
130322,Albert Einstein,LO,9.46,Asphalt,66441.00,10.78,13.33,716233.98,885658.53,151539.03,1753431.54,01-03-1988
130380,Louisville Llama Farm,TX,8.19,Granite,85162.00,72.50,29.25,6174245.00,2490988.50,709682.62,9374916.12,01-03-1988
130399,The Boring Company,XX,9.46,Marble,7623.00,88.73,34.25,676388.79,261087.75,88685.28,1026161.82,01-03-1988
130406,Microsoft# Inc.,II,9.46,Mosaic Tile,104752.00,18.50,49.25,1937912.00,5159036.00,671371.28,7768319.28,01-03-1988
130488,Grace Murray Hopper,LO,9.46,Straw,110183.00,1.80,3.25,198329.40,358094.75,52637.72,609061.87,01-03-1988
130509,Apple,AK,1.76,Asphalt,251004.00,10.78,13.33,2705823.12,3345883.32,106510.03,6158216.47,01-03-1988
130551,Grace Murray Hopper,ZZ,9.46,Wood,184211.00,12.50,9.25,2302637.50,1703951.75,379023.34,4385612.59,01-03-1988
130562,Penn Jillette,XX,9.46,Wood,233820.00,12.50,9.25,2922750.00,2162835.00,481096.34,5566681.34,01-03-1988
130654,Albert Einstein,LO,9.46,Dirt,153779.00,0.78,3.33,119947.62,512084.07,59790.20,691821.89,01-03-1988
130736,Alphabet,TX,8.19,Trampoline,285462.00,20.78,13.33,5931900.36,3805208.46,797469.21,10534578.03,01-03-1988
130810,Grace Murray Hopper,DN,9.46,Dirt,29313.00,0.78,3.33,22864.14,97612.29,11397.07,131873.50,01-03-1988
130818,The Boring Company,XX,9.46,Tile,144643.00,1.50,14.30,216964.50,2068394.90,216195.00,2501554.40,01-03-1988
130897,Penn Jillette,ZZ,9.46,Wood,53899.00,12.50,9.25,673737.50,498565.75,110899.89,1283203.14,01-03-1988
130907,Penn Jillette,ZZ,9.46,Disco Light Up Panels,160302.00,40.78,23.33,6537115.56,3739845.66,972200.53,11249161.75,01-03-1988
130954,Apple,KY,6,Straw,15517.00,1.80,3.25,27930.60,50430.25,4701.65,83062.50,01-03-1988
131007,Alan M. Galloway# Jr.,KY,6,Marble,251532.00,88.73,34.25,22318434.36,8614971.00,1856004.32,32789409.68,01-03-1988
131031,Albert Einstein,WY,9.46,Bamboo,265093.00,18.50,9.25,4904220.50,2452110.25,695908.89,8052239.64,01-03-1988
131070,Bill Gates,RI,7,Dirt,112970.00,0.78,3.33,88116.60,376190.10,32501.47,496808.17,01-03-1988
131159,Alan M. Galloway# Jr.,II,9.46,Marble,130574.00,88.73,34.25,11585831.02,4472159.50,1519085.90,17577076.42,01-03-1988
131254,Penn Jillette,HI,4.35,Mosaic Tile,259486.00,18.50,49.25,4800491.00,12779685.50,764737.68,18344914.18,01-03-1988
131324,Alex Trebek,ZZ,9.46,Distressed Red Oak,53083.00,18.57,23.33,985751.31,1238426.39,210407.21,2434584.91,01-03-1988
131413,Alan M. Galloway# Sr.,WY,9.46,Dirt,39652.00,0.78,3.33,30928.56,132041.16,15416.94,178386.66,01-03-1988
304160,Alex Trebek,DN,9.46,Trampoline,139431.00,20.78,13.33,2897376.18,1858615.23,449916.79,5205908.20,01-06-1975
304257,Tractor Supply Co.,II,9.46,Distressed Red Oak,73219.00,18.57,23.33,1359676.83,1708199.27,290221.08,3358097.18,01-06-1975
304313,Charles Darwin,DN,9.46,Tile,118796.00,1.50,14.30,178194.00,1698782.80,177562.01,2054538.81,01-06-1975
304332,Bill Gates,ZZ,9.46,Disco Light Up Panels,224819.00,40.78,23.33,9168118.82,5245027.27,1363483.62,15776629.71,01-06-1975
304352,Apple,ZZ,9.46,Granite,182909.00,72.50,29.25,13260902.50,5350088.25,1760599.72,20371590.47,01-06-1975
304394,Louisville Llama Farm,RI,7,Straw,67861.00,1.80,3.25,122149.80,220548.25,23988.86,366686.91,01-06-1975
304436,Elon Musk,LO,9.46,Wood,17221.00,12.50,9.25,215262.50,159294.25,35433.07,409989.82,01-06-1975
304459,Tractor Supply Co.,LO,9.46,Granite,79382.00,72.50,29.25,5755195.00,2321923.50,764095.41,8841213.91,01-06-1975
304475,Jaden Smith,XX,9.46,Marble,119697.00,88.73,34.25,10620714.81,4099622.25,1392543.89,16112880.95,01-06-1975
304545,Alex Trebek,XX,9.46,Wood,286427.00,12.50,9.25,3580337.50,2649449.75,589337.87,6819125.12,01-06-1975
304562,Alan M. Galloway# Jr.,LO,9.46,Marble,45354.00,88.73,34.25,4024260.42,1553374.50,527644.26,6105279.18,01-06-1975
304596,Alex Trebek,XX,9.46,Bamboo,130889.00,18.50,9.25,2421446.50,1210723.25,343603.26,3975773.01,01-06-1975
304688,Monty Hall,LO,9.46,Straw,85381.00,1.80,3.25,153685.80,277488.25,40789.07,471963.12,01-06-1975
304711,Charles Babbage,DN,9.46,Dirt,274692.00,0.78,3.33,214259.76,914724.36,106801.90,1235786.02,01-06-1975
304719,Alphabet,AK,1.76,Dirt,158217.00,0.78,3.33,123409.26,526862.61,11444.78,661716.65,01-06-1975
304811,Elon Musk,WY,9.46,Bamboo,111404.00,18.50,9.25,2060974.00,1030487.00,292452.21,3383913.21,01-06-1975
304878,Adams# Douglas,OH,7.14,Dirt,54920.00,0.78,3.33,42837.60,182883.60,16116.49,241837.69,01-06-1975
304887,Elon Musk,WY,9.46,Disco Light Up Panels,220665.00,40.78,23.33,8998718.70,5148114.45,1338290.42,15485123.57,01-06-1975
304946,Albert Einstein,TX,8.19,Straw,21742.00,1.80,3.25,39135.60,70661.50,8992.38,118789.48,01-06-1975
304973,Bill Gates,KY,6,Disco Light Up Panels,1122.00,40.78,23.33,45755.16,26176.26,4315.89,76247.31,01-06-1975
304985,Albert Einstein,WY,9.46,Distressed Red Oak,96453.00,18.57,23.33,1791132.21,2250248.49,382314.61,4423695.31,01-06-1975
305082,Jaden Smith,OH,7.14,Trampoline,144698.00,20.78,13.33,3006824.44,1928824.34,352405.32,5288054.10,01-06-1975
305116,Albert Einstein,KY,6,Asphalt,231864.00,10.78,13.33,2499493.92,3090747.12,335414.46,5925655.50,01-06-1975
305210,Tractor Supply Co.,II,9.46,Straw,263390.00,1.80,3.25,474102.00,856017.50,125829.30,1455948.80,01-06-1975
305271,Bill Gates,KY,6,Marble,223812.00,88.73,34.25,19858838.76,7665561.00,1651463.99,29175863.75,01-06-1975
305307,Adams# Douglas,ZZ,9.46,Mosaic Tile,118607.00,18.50,49.25,2194229.50,5841394.75,760170.05,8795794.30,01-06-1975
51010,Alan M. Galloway# Jr.,HI,4.35,Granite,201745.00,72.50,29.25,14626512.50,5901041.25,892948.59,21420502.34,01-07-2019
51028,Adams# Douglas,ZZ,9.46,Wood,60786.00,12.50,9.25,759825.00,562270.50,125070.23,1447165.73,01-07-2019
51047,Grace Murray Hopper,HI,4.35,Bamboo,175273.00,18.50,9.25,3242550.50,1621275.25,211576.42,5075402.17,01-07-2019
51062,Elon Musk,AK,1.76,Disco Light Up Panels,33156.00,40.78,23.33,1352101.68,773529.48,37411.11,2163042.27,01-07-2019
51120,Jaden Smith,HI,4.35,Wood,132326.00,12.50,9.25,1654075.00,1224015.50,125196.94,3003287.44,01-07-2019
51194,Charles Babbage,ZZ,9.46,Carpet,29847.00,12.50,6.30,373087.50,188036.10,53082.29,614205.89,01-07-2019
51278,The Boring Company,RI,7,Disco Light Up Panels,240683.00,40.78,23.33,9815052.74,5615134.39,1080113.10,16510300.23,01-07-2019
51326,Microsoft# Inc.,OH,7.14,Tile,257810.00,1.50,14.30,386715.00,3686683.00,290840.62,4364238.62,01-07-2019
51409,Tractor Supply Co.,TX,8.19,Laminate,62015.00,4.50,9.80,279067.50,607747.00,72630.11,959444.61,01-07-2019
51495,Ada Lovelace,TX,8.19,Straw,155982.00,1.80,3.25,280767.60,506941.50,64513.38,852222.48,01-07-2019
51619,Monsters Inc.,TX,8.19,Granite,65920.00,72.50,29.25,4779200.00,1928160.00,549332.78,7256692.78,01-07-2019
51686,Alan M. Galloway# Jr.,DN,9.46,Disco Light Up Panels,130655.00,40.78,23.33,5328110.90,3048181.15,792397.23,9168689.28,01-07-2019
51723,Thomas J. Watson,XX,9.46,Wood,278295.00,12.50,9.25,3478687.50,2574228.75,572605.88,6625522.13,01-07-2019
51791,Jaden Smith,LO,9.46,Granite,31542.00,72.50,29.25,2286795.00,922603.50,303609.10,3513007.60,01-07-2019
51873,Charles Babbage,RI,7,Dirt,39018.00,0.78,3.33,30434.04,129929.94,11225.48,171589.46,01-07-2019
51950,Penn Jillette,II,9.46,Straw,246617.00,1.80,3.25,443910.60,801505.25,117816.34,1363232.19,01-07-2019
51980,Elon Musk,XX,9.46,Dirt,29238.00,0.78,3.33,22805.64,97362.54,11367.91,131536.09,01-07-2019
51991,Microsoft# Inc.,LO,9.46,Carpet,187354.00,12.50,6.30,2341925.00,1180330.20,333205.34,3855460.54,01-07-2019
52069,Apple,TX,8.19,Laminate,135416.00,4.50,9.80,609372.00,1327076.80,158595.16,2095043.96,01-07-2019
52126,Thurston Howell# III,RI,7,Asphalt,139355.00,10.78,13.33,1502246.90,1857602.15,235189.43,3595038.48,01-07-2019
52219,Albert Einstein,TX,8.19,Straw,118612.00,1.80,3.25,213501.60,385489.00,49057.33,648047.93,01-07-2019
52277,Steve Jobs,AK,1.76,Straw,170186.00,1.80,3.25,306334.80,553104.50,15126.13,874565.43,01-07-2019
52313,The Boring Company,II,9.46,Straw,182778.00,1.80,3.25,329000.40,594028.50,87318.53,1010347.43,01-07-2019
52331,Louisville Llama Farm,XX,9.46,Straw,27012.00,1.80,3.25,48621.60,87789.00,12904.44,149315.04,01-07-2019
52384,Alphabet,OH,7.14,Granite,184373.00,72.50,29.25,13367042.50,5392910.25,1339460.63,20099413.38,01-07-2019
52427,The Boring Company,AK,1.76,Trampoline,7084.00,20.78,13.33,147205.52,94429.72,4252.78,245888.02,01-07-2019
52487,Charles Darwin,DN,9.46,Asphalt,105007.00,10.78,13.33,1131975.46,1399743.31,239500.60,2771219.37,01-07-2019
52502,Apple,LO,9.46,Marble,183592.00,88.73,34.25,16290118.16,6288026.00,2135892.44,24714036.60,01-07-2019
52625,Penn Jillette,RI,7,Dirt,254454.00,0.78,3.33,198474.12,847331.82,73206.42,1119012.36,01-07-2019
52707,Ada Lovelace,RI,7,Asphalt,1244.00,10.78,13.33,13410.32,16582.52,2099.50,32092.34,01-07-2019
52729,Alan M. Galloway# Sr.,TX,8.19,Straw,240056.00,1.80,3.25,432100.80,780182.00,99285.96,1311568.76,01-07-2019
52815,Alex Trebek,RI,7,Straw,83679.00,1.80,3.25,150622.20,271956.75,29580.53,452159.48,01-07-2019
52893,Charles Babbage,LO,9.46,Carpet,147377.00,12.50,6.30,1842212.50,928475.10,262107.05,3032794.65,01-07-2019
52895,Louisville Llama Farm,TX,8.19,Asphalt,30356.00,10.78,13.33,327237.68,404645.48,59941.23,791824.39,01-07-2019
52900,Charles Babbage,RI,7,Distressed Red Oak,78323.00,18.57,23.33,1454458.11,1827275.59,229721.36,3511455.06,01-07-2019
52991,Monty Hall,WY,9.46,Tile,282907.00,1.50,14.30,424360.50,4045570.10,422855.43,4892786.03,01-07-2019
323408,Jaden Smith,ZZ,9.46,Marble,230663.00,88.73,34.25,20466727.99,7900207.75,2683512.12,31050447.86,01-08-1965
323484,Monty Hall,WY,9.46,Carpet,38302.00,12.50,6.30,478775.00,241302.60,68119.34,788196.94,01-08-1965
323505,Tractor Supply Co.,HI,4.35,Carpet,12348.00,12.50,6.30,154350.00,77792.40,10098.19,242240.59,01-08-1965
323547,Penn Jillette,OH,7.14,Asphalt,17186.00,10.78,13.33,185265.08,229089.38,29584.91,443939.37,01-08-1965
323581,Alan M. Galloway# Jr.,TX,8.19,Bamboo,223367.00,18.50,9.25,4132289.50,2066144.75,507651.77,6706086.02,01-08-1965
323594,Elon Musk,OH,7.14,Dirt,125589.00,0.78,3.33,97959.42,418211.37,36854.59,553025.38,01-08-1965
323622,Elon Musk,II,9.46,Laminate,110097.00,4.50,9.80,495436.50,1078950.60,148937.02,1723324.12,01-08-1965
323673,Elon Musk,HI,4.35,Tile,202078.00,1.50,14.30,303117.00,2889715.40,138888.21,3331720.61,01-08-1965
323732,Charles Darwin,DN,9.46,Tile,204170.00,1.50,14.30,306255.00,2919631.00,305168.82,3531054.82,01-08-1965
323774,The Boring Company,ZZ,9.46,Mosaic Tile,40413.00,18.50,49.25,747640.50,1990340.25,259012.98,2996993.73,01-08-1965
323823,Ada Lovelace,TX,8.19,Wood,222941.00,12.50,9.25,2786762.50,2062204.25,397130.38,5246097.13,01-08-1965
323917,Albert Einstein,LO,9.46,Mosaic Tile,97534.00,18.50,49.25,1804379.00,4803549.50,625110.04,7233038.54,01-08-1965
323930,Alphabet,AK,1.76,Trampoline,216935.00,20.78,13.33,4507909.30,2891743.55,130233.89,7529886.74,01-08-1965
323962,Alex Trebek,XX,9.46,Trampoline,17081.00,20.78,13.33,354943.18,227689.73,55117.07,637749.98,01-08-1965
324028,Charles Babbage,AK,1.76,Trampoline,77287.00,20.78,13.33,1606023.86,1030235.71,46398.17,2682657.74,01-08-1965
324110,Alphabet,HI,4.35,Trampoline,45263.00,20.78,13.33,940565.14,603355.79,67160.56,1611081.49,01-08-1965
324216,Steve Jobs,OH,7.14,Granite,220641.00,72.50,29.25,15996472.50,6453749.25,1602945.83,24053167.58,01-08-1965
324297,Jaden Smith,KY,6,Trampoline,70820.00,20.78,13.33,1471639.60,944030.60,144940.21,2560610.41,01-08-1965
324350,Monty Hall,ZZ,9.46,Asphalt,193935.00,10.78,13.33,2090619.30,2585153.55,442328.11,5118100.96,01-08-1965
324397,Adams# Douglas,LO,9.46,Asphalt,151330.00,10.78,13.33,1631337.40,2017228.90,345154.37,3993720.67,01-08-1965
324433,The Boring Company,WY,9.46,Mosaic Tile,256971.00,18.50,49.25,4753963.50,12655821.75,1646965.68,19056750.93,01-08-1965
324507,Penn Jillette,TX,8.19,Carpet,171504.00,12.50,6.30,2143800.00,1080475.20,264068.14,3488343.34,01-08-1965
324596,Alex Trebek,ZZ,9.46,Mosaic Tile,57229.00,18.50,49.25,1058736.50,2818528.25,366789.25,4244054.00,01-08-1965
324675,Charles Darwin,OH,7.14,Wood,185012.00,12.50,9.25,2312650.00,1711361.00,287314.39,4311325.39,01-08-1965
324698,Steve Jobs,DN,9.46,Marble,69495.00,88.73,34.25,6166291.35,2380203.75,808498.44,9354993.54,01-08-1965
362293,Charles Darwin,DN,9.46,Distressed Red Oak,37307.00,18.57,23.33,692790.99,870372.31,147875.25,1711038.55,01-08-2007
362308,Elon Musk,RI,7,Wood,276001.00,12.50,9.25,3450012.50,2553009.25,420211.52,6423233.27,01-08-2007
362391,Microsoft# Inc.,OH,7.14,Bamboo,206402.00,18.50,9.25,3818437.00,1909218.50,408954.60,6136610.10,01-08-2007
362472,Steve Jobs,TX,8.19,Granite,192502.00,72.50,29.25,13956395.00,5630683.50,1604181.73,21191260.23,01-08-2007
362555,Monty Hall,AK,1.76,Bamboo,34407.00,18.50,9.25,636529.50,318264.75,16804.38,971598.63,01-08-2007
362575,Albert Einstein,XX,9.46,Bamboo,283570.00,18.50,9.25,5246045.00,2623022.50,744413.79,8613481.29,01-08-2007
362584,Penn Jillette,XX,9.46,Disco Light Up Panels,38613.00,40.78,23.33,1574638.14,900841.29,234180.35,2709659.78,01-08-2007
362628,Jaden Smith,KY,6,Straw,259940.00,1.80,3.25,467892.00,844805.00,78761.82,1391458.82,01-08-2007
362713,Alan M. Galloway# Jr.,TX,8.19,Disco Light Up Panels,201862.00,40.78,23.33,8231932.36,4709440.46,1059898.43,14001271.25,01-08-2007
362830,The Boring Company,KY,6,Disco Light Up Panels,545.00,40.78,23.33,22225.10,12714.85,2096.40,37036.35,01-08-2007
362905,Alphabet,RI,7,Tile,293827.00,1.50,14.30,440740.50,4201726.10,324972.66,4967439.26,01-08-2007
362917,Charles Babbage,XX,9.46,Laminate,256426.00,4.50,9.80,1153917.00,2512974.80,346887.96,4013779.76,01-08-2007
362931,Alan M. Galloway# Sr.,ZZ,9.46,Tile,136834.00,1.50,14.30,205251.00,1956726.20,204523.04,2366500.24,01-08-2007
363026,Thomas J. Watson,KY,6,Straw,5680.00,1.80,3.25,10224.00,18460.00,1721.04,30405.04,01-08-2007
363123,Charles Babbage,KY,6,Wood,221685.00,12.50,9.25,2771062.50,2050586.25,289298.93,5110947.68,01-08-2007
363155,Thurston Howell# III,RI,7,Mosaic Tile,94396.00,18.50,49.25,1746326.00,4649003.00,447673.03,6843002.03,01-08-2007
363156,Steve Jobs,II,9.46,Marble,179153.00,88.73,34.25,15896245.69,6135990.25,2084249.52,24116485.46,01-08-2007
363202,Alan M. Galloway# Jr.,LO,9.46,Carpet,32521.00,12.50,6.30,406512.50,204882.30,57837.95,669232.75,01-08-2007
363230,Microsoft# Inc.,KY,6,Tile,141453.00,1.50,14.30,212179.50,2022777.90,134097.44,2369054.84,01-08-2007
363292,Monty Hall,RI,7.00,Asphalt,91774.00,10.78,13.33,989323.72,1223347.42,154886.98,2367558.12,01-08-2007
363368,Monty Hall,RI,7,Mosaic Tile,200917.00,18.50,49.25,3716964.50,9895162.25,952848.87,14564975.62,01-08-2007
363429,Alex Trebek,XX,9.46,Trampoline,35017.00,20.78,13.33,727653.26,466776.61,112993.07,1307422.94,01-08-2007
363476,Albert Einstein,WY,9.46,Asphalt,111076.00,10.78,13.33,1197399.28,1480643.08,253342.81,2931385.17,01-08-2007
363539,Thurston Howell# III,HI,4.35,Wood,140781.00,12.50,9.25,1759762.50,1302224.25,133196.42,3195183.17,01-08-2007
363625,Penn Jillette,XX,9.46,Mosaic Tile,243312.00,18.50,49.25,4501272.00,11983116.00,1559423.10,18043811.10,01-08-2007
363703,Steve Jobs,AK,1.76,Disco Light Up Panels,298539.00,40.78,23.33,12174420.42,6964914.87,336852.30,19476187.59,01-08-2007
363730,Bill Gates,KY,6,Wood,285376.00,12.50,9.25,3567200.00,2639728.00,372415.68,6579343.68,01-08-2007
363819,Alan M. Galloway# Sr.,TX,8.19,Marble,62586.00,88.73,34.25,5553255.78,2143570.50,630370.07,8327196.35,01-08-2007
363908,Charles Babbage,LO,9.46,Wood,182376.00,12.50,9.25,2279700.00,1686978.00,375247.74,4341925.74,01-08-2007
363923,Jaden Smith,HI,4.35,Straw,218014.00,1.80,3.25,392425.20,708545.50,47892.23,1148862.93,01-08-2007
363977,Thurston Howell# III,XX,9.46,Dirt,22029.00,0.78,3.33,17182.62,73356.57,8565.01,99104.20,01-08-2007
364037,Steve Jobs,II,9.46,Mosaic Tile,17251.00,18.50,49.25,319143.50,849611.75,110564.25,1279319.50,01-08-2007
364118,Jean Ichbiah,RI,7,Mosaic Tile,57518.00,18.50,49.25,1064083.00,2832761.50,272779.12,4169623.62,01-08-2007
364199,Albert Einstein,RI,7,Laminate,295084.00,4.50,9.80,1327878.00,2891823.20,295379.08,4515080.28,01-08-2007
364250,Adams# Douglas,XX,9.46,Wood,31805.00,12.50,9.25,397562.50,294196.25,65440.38,757199.13,01-08-2007
364280,Thomas J. Watson,HI,4.35,Trampoline,181795.00,20.78,13.33,3777700.10,2423327.35,269744.69,6470772.14,01-08-2007
364324,Albert Einstein,WY,9.46,Mosaic Tile,227022.00,18.50,49.25,4199907.00,11180833.50,1455018.05,16835758.55,01-08-2007
364333,Monty Hall,RI,7,Tile,128006.00,1.50,14.30,192009.00,1830485.80,141574.64,2164069.44,01-08-2007
364358,Alex Trebek,RI,7,Dirt,132484.00,0.78,3.33,103337.52,441171.72,38115.65,582624.89,01-08-2007
364372,Alan M. Galloway# Sr.,OH,7.14,Tile,84429.00,1.50,14.30,126643.50,1207334.70,95246.04,1429224.24,01-08-2007
364373,Steve Jobs,RI,7,Bamboo,200604.00,18.50,9.25,3711174.00,1855587.00,389673.27,5956434.27,01-08-2007
58468,Jean Ichbiah,AK,1.76,Asphalt,232271.00,10.78,13.33,2503881.38,3096172.43,98560.95,5698614.76,01-10-2021
58506,Thurston Howell# III,KY,6,Asphalt,188444.00,10.78,13.33,2031426.32,2511958.52,272603.09,4815987.93,01-10-2021
58529,Monsters Inc.,II,9.46,Asphalt,168520.00,10.78,13.33,1816645.60,2246371.60,384361.43,4447378.63,01-10-2021
58598,Penn Jillette,ZZ,9.46,Granite,23469.00,72.50,29.25,1701502.50,686468.25,225902.03,2613872.78,01-10-2021
58683,Monsters Inc.,ZZ,9.46,Trampoline,5418.00,20.78,13.33,112586.04,72221.94,17482.83,202290.81,01-10-2021
58723,Steve Jobs,TX,8.19,Distressed Red Oak,159077.00,18.57,23.33,2954059.89,3711266.41,545890.22,7211216.52,01-10-2021
58767,Grace Murray Hopper,KY,6,Marble,36655.00,88.73,34.25,3252398.15,1255433.75,270469.91,4778301.81,01-10-2021
58854,Adams# Douglas,OH,7.14,Distressed Red Oak,244122.00,18.57,23.33,4533345.54,5695366.26,730330.02,10959041.82,01-10-2021
58927,Tractor Supply Co.,DN,9.46,Straw,193486.00,1.80,3.25,348274.80,628829.50,92434.07,1069538.37,01-10-2021
